date,cpi_yoy_northeast,cpi_index_northeast,cpi_yoy_midwest,cpi_index_midwest,cpi_yoy_south,cpi_index_south,cpi_yoy_west,cpi_index_west,hpi_yoy_northeast,hpi_index_northeast,hpi_yoy_midwest,hpi_index_midwest,hpi_yoy_south,hpi_index_south,hpi_yoy_west,hpi_index_west,hpi_yoy_national,hpi_index_national,real_wage_northeast,real_wage_midwest,real_wage_south,real_wage_west,real_wage_yoy_northeast,real_wage_yoy_midwest,real_wage_yoy_south,real_wage_yoy_west,nominal_wage,debt_delinquency_rate,debt_4q_avg,debt_yoy_chg,sentiment,sentiment_12m_avg,sentiment_yoy_chg
2022-09-01,6.856937340706248,110.68266158497269,8.259352519394248,113.89854809736481,9.181536305770454,114.27273117323315,8.214135253876865,113.1845650258089,11.26789660436569,120.31254404898127,9.968030402845663,117.81116824580408,16.27965938853231,136.84258642489817,8.988217971770474,122.77203174601092,10.69829238865736,124.82326625658315,29.426469813427406,28.59562351238922,28.50198788950367,28.776008453602515,-1.613927870515408,-2.888442429441529,-3.708679136960491,-2.8478643748909183,32.57,2.05,1.9949999999999999,0.21999999999999975,58.6,61.75,-14.199999999999996
2022-10-01,6.624098583549909,110.95632799850988,7.4840850971217066,113.94510456665404,8.617061338413468,114.7521033478042,8.018695926011876,113.95778253388728,10.127747264200426,120.15189266031834,8.906082818287464,117.85595241052678,13.633636449870036,136.05099901796277,6.892139371071981,122.43893243785551,9.193671584625562,124.68555165132331,29.47105459405538,28.698029743675043,28.496209695511194,28.694837046584425,-1.514164896706538,-2.3021558805825015,-3.3212346040240703,-2.7856863007352906,32.7,2.26,2.1025,0.4299999999999997,59.9,60.76666666666667,-11.800000000000004
2022-11-01,6.379049224591049,111.20850228532947,6.596555355925915,113.42144728818866,8.156811177920398,114.8535165010902,6.989805846055397,113.4496481877824,9.040081965635771,120.25577216216602,7.874023037305866,118.14636415572839,11.158870842504998,135.51488487556068,4.688473065568877,121.9142473058602,7.624738119363483,124.55493143481927,29.51213200928935,28.936326228150474,28.57552907375585,28.929133341758963,-1.210568085161956,-1.4121440843189448,-2.834359426054134,-1.774512464680722,32.82,2.26,2.155,0.20999999999999996,56.7,59.87499999999999,-10.700000000000003
2022-12-01,6.303857359521525,111.22318857191982,5.769349510666544,112.92127424644438,7.290201679628594,114.56097855891909,6.155482739826779,113.07020856939025,7.588647289400874,120.29599335343603,5.941179493946436,117.73538370225441,8.083959679042184,134.65040514466548,2.8083433208281328,121.40240233416246,5.755275580482566,124.25029003530501,29.61612629788988,29.170765402549645,28.75324601304697,29.13234212333215,-1.2849760001737653,-0.7861173480980477,-2.1924866740953286,-1.1470009868621123,32.94,2.26,2.2074999999999996,0.20999999999999996,59.8,58.975,-10.799999999999997
2023-01-01,6.116596670700347,112.1394695743126,5.8697145137218465,113.68924998763987,6.9338903711855915,115.2115829423076,6.552931908881976,114.47431001440822,6.448076317495155,120.51176395401222,4.979237859314489,117.90606656025008,5.100344246903821,134.0575971099312,1.0775278284808953,121.34241267331882,3.928415386497486,124.08252860707935,29.445475464923888,29.0440828869835,28.66031275391366,28.844899782181667,-1.5293797912315443,-1.2997519016333503,-2.2819888780247544,-1.9326178885128997,33.02,2.47,2.3125,0.4200000000000004,64.9,58.78333333333333,-2.299999999999997
2023-02-01,6.304031542099464,112.80285988566187,5.407513076557291,114.162230755286,6.387370499685208,115.99753488027397,6.187302859506705,114.90515758109868,4.743228189759741,120.55956194012083,3.7456519094877683,118.01906778043896,2.064479584651413,133.55881980613847,-1.3098884778908304,121.63754589200862,2.244264790261563,124.18727517047398,29.387552792190885,29.037624598505904,28.578193523005066,28.84987993389516,-1.4407652940818139,-0.6024932270861427,-1.5179720512585537,-1.3324219299058582,33.15,2.47,2.365,0.2100000000000004,66.9,59.125,4.1000000000000085
2023-03-01,4.824001732495975,112.69898127319358,4.68347065558079,114.90054219746536,5.426315585317765,116.61303471060197,5.042107880325641,115.2433309552786,4.129506906743163,121.28014721658467,4.223057192420843,119.1952587362649,-1.127750195760313,133.48243741506045,-2.997061981141569,122.02389002418117,0.8154971460975213,124.64298531878846,29.52111866863304,28.955476940067847,28.530258287648557,28.869349509613517,-0.1920936233438808,-0.058107689557751474,-0.7623087949359397,-0.3993316388600676,33.27,2.47,2.4175,0.2100000000000004,62.0,59.34166666666667,2.6000000000000014
2023-04-01,4.062592947552801,112.79175562019113,4.722891386549932,115.70189027505397,5.496918484532798,117.31083521532742,4.955758380246644,115.85882747912208,3.3284446763989006,122.07460340123394,4.103591058388512,120.16525078841201,-2.9472980043180663,133.73874752303973,-3.399787891249273,122.94490911145476,-0.07692743178934203,125.2167961740379,29.638691069381327,28.89321852955734,28.496941427991942,28.854081063459866,0.5159456548767372,-0.11782716338180066,-0.8506590744132403,-0.339437312946822,33.43,2.75,2.54,0.4900000000000002,63.7,59.21666666666667,-1.5
2023-05-01,3.648055279137963,113.04822833235424,3.6279336551789942,116.11925048204486,4.563582734410709,117.80853976760785,4.524141745546895,116.31485444906069,3.347738826751434,123.50221066543617,4.428312351800345,121.58345577441648,-3.9307445392474105,134.67946442068867,-3.2867939998180162,123.87562248432084,-0.402271183534586,126.05393404722358,29.633370194455626,28.84965228498439,28.435969129303324,28.801136500300657,0.6882091858374739,0.7077599981607285,-0.19338665777495212,-0.15572577427350742,33.5,2.75,2.61,0.2799999999999998,59.0,59.26666666666667,0.6000000000000014
2023-06-01,2.71453732205007,113.43257919848695,2.3484697663475274,116.49541027373556,3.6810950162109224,118.12253049220483,3.4356197166070856,116.6904472141788,3.2014932992189715,124.46317862041948,4.075068611897037,122.41614458171077,-4.2103823647338885,135.06826333588944,-2.070090913904754,124.87075045089837,0.008548385505879885,126.93822873978617,29.700461929062246,28.919594274861804,28.52123118224535,28.87125793439105,1.893884716522476,2.2583263677202314,0.9439881298274999,1.1835502438968026,33.69,2.75,2.68,0.2799999999999998,64.2,60.45000000000001,14.200000000000003
