date,cpi_yoy_northeast,cpi_index_northeast,cpi_yoy_midwest,cpi_index_midwest,cpi_yoy_south,cpi_index_south,cpi_yoy_west,cpi_index_west
2023-06-01,2.71453732205007,113.43257919848695,2.3484697663475274,116.49541027373556,3.6810950162109224,118.12253049220483,3.4356197166070856,116.6904472141788
2023-07-01,3.2297490573397702,113.75639390769847,3.2029540084938635,117.34001878738938,3.6896166041298306,118.24305612437934,3.4322581444858002,116.72716717724903
2023-08-01,3.617870352345709,114.39936669866604,2.887709837348873,116.96633102061669,4.2544681316577515,118.95021784325428,4.051166094397973,117.31573572817436
2023-09-01,3.6463373193740933,114.7185247804221,2.799782962561048,117.08746024159925,4.459516194546187,119.36874212585371,3.9805468269637823,117.68992963755649
2023-10-01,3.322583040363636,114.64294413479861,2.75416451224495,117.0833402000692,3.9347650221959407,119.26732897256773,3.3652488798870728,117.79274553415308
2023-11-01,3.0035785262656045,114.54873697935322,2.945236330877754,116.76197696072774,3.859973238967851,119.28683150204581,3.4262515913651814,117.33671856421448
2023-12-01,3.0981887511916106,114.66909288897168,3.327155043454799,116.67834011766838,4.160254402331565,119.32700671277065,3.707140250276808,117.26187978233807
2024-01-01,3.0827759357571427,115.5964781568352,2.9462713178856514,117.038843751545,3.8804777639347865,119.68234279986115,2.9810256707918814,117.88681858239963
2024-02-01,2.870307449017817,116.04064877566516,3.183803096466864,117.79693139306843,4.0925919076233,120.74484060582658,3.2157628991170695,118.60023500776367
2024-03-01,3.457778173311632,116.59586204920262,3.30677490838418,118.70004449644851,3.9315112938130836,121.19768934030743,3.569564478539511,119.35701596094394
2024-04-01,3.781404521679499,117.05686816729471,3.1898642224572615,119.39262347764466,3.605224133688889,121.5401537579424,3.693072056408764,120.1375774616364
2024-05-01,4.006032972221085,117.57697763386012,3.3047118932727937,119.9566571631042,3.4393478879861217,121.86038529197238,3.5219482862297147,120.41140347195996
2024-06-01,4.093510004042034,118.07595317581992,3.0733537752031026,120.07572636332173,3.2099564455040586,121.91421227333186,3.0586740351360886,120.25962762460307
2024-07-01,3.8573443837065735,118.14436977920421,3.1551633936440338,121.0422881062641,3.157203742066561,121.97623031707212,3.135907291950657,120.3876229244478
2024-08-01,3.5109637380977166,118.41588698006962,3.439639868120725,120.98955157467988,2.6423050816333893,122.09324549394056,2.633085118433698,120.40475890721392
2024-09-01,3.609232440938981,118.85898299256372,3.2946268341602414,120.94505512615568,2.1896259892691727,121.9824711265051,2.4764361190020567,120.60444556352903
2024-10-01,3.7594008454902683,118.95283194589715,2.9688929551692667,120.55941923894594,2.497923302831495,122.24653537563822,2.4110371527138685,120.6327723921832
2024-11-01,3.911966677924128,119.02984539996847,2.928016937191247,120.1807874223372,2.418384430260545,122.17164566244243,2.6791089704996995,120.48029711695834
2024-12-01,3.8628781347227914,119.09862020546473,3.1091431053295038,120.30603668484979,2.280936301797465,122.04877972673054,2.7163085879251314,120.44707429322814
2025-01-01,3.866903409531064,120.0664823119797,3.6466107184094154,121.30679477249129,2.6284228159484835,122.82810080467436,2.8537949242794847,121.25106662749872
2025-02-01,4.10244695989852,120.80115484360894,3.2677886902263698,121.64628619456484,2.1688708562420445,123.36364026414226,2.854320550813094,121.9854658889029
2025-03-01,3.4405212855181055,120.60736750103878,2.7181156804487294,121.92644901860609,1.8279947091139004,123.41317668901657,2.5862953011875245,122.44394085637948
2025-04-01,3.5028611646623187,121.15720774289684,2.4221405524785355,122.28448062756472,1.87034059582607,123.81336859390662,2.262677895153553,122.85590387063382
2025-05-01,3.1723545432942535,121.30693622569598,2.1933409810615867,122.5877156841741,1.6301668896556487,123.8469129446089,2.3458238700720946,123.23604291689401
2025-06-01,3.3415747720964006,122.02154943905548,2.646829740292267,123.2539263995781,1.899155362170446,124.2295525729687,2.659939513783871,123.45846097891923
2025-07-01,3.219576382698741,121.94811800610374,1.860178563526893,123.29389080241928,1.9483945650887957,124.35280855927013,2.7500682651359964,123.69836473764462
2025-08-01,3.2176390871911487,122.22608284498445,2.270645404054328,123.7367952668963,1.8446164609815963,124.34539759806846,2.9439869879028135,123.94945934225802
2025-09-01,3.1378363635815587,122.58858338228762,2.667320722322719,124.17104764416025,2.281164564247695,124.76509203243663,3.1452796158508045,124.3977926056486
2025-10-01,3.056464799462777,,2.9957247870082693,,2.0602274322617076,,3.1210591772069307,
2025-11-01,3.077960144207914,122.6935366010918,2.6263464267838765,123.33715123848448,1.8373667071068134,124.41638680536866,3.0440247190945957,124.14774714283716
2025-12-01,3.3086709374718026,123.03920163913284,2.130464859829728,122.86911452067437,1.8325050734248505,124.285329807276,3.0378960327046345,124.10613118469094
2026-01-01,2.7175469581612877,123.32934534982016,1.6998889383251115,123.36887555826561,1.579534015236428,124.7682124371531,2.8461416437131515,124.70204372823032
2026-02-01,2.6962753859976374,124.05828664765808,2.0683815684747087,124.16239555694722,1.5603460268879044,125.2885399236281,2.8456345053968324,125.4567263978066
2026-03-01,3.6982257307648814,125.06770019916036,2.731680943450421,125.25709059147316,2.8583799774338337,126.94079422101045,3.375641911768912,126.57720984234896
2026-04-01,4.347543290651235,126.42456979926354,3.4015714073934333,126.44407455627152,3.2927048253310165,127.89017735600305,3.774508687632383,127.49311063550017
