date,hpi_yoy_northeast,hpi_index_northeast,hpi_yoy_midwest,hpi_index_midwest,hpi_yoy_south,hpi_index_south,hpi_yoy_west,hpi_index_west,hpi_yoy_national,hpi_index_national
2022-05-01,14.70298454198511,119.50160890551362,12.870714452638744,116.42767467583263,30.51107323838387,140.18997417515078,21.77798418082424,128.08552999896185,19.75344715935117,126.56306076969945
2022-06-01,14.771743798866721,120.6021101453979,12.989174870432496,117.62292950121306,27.931818640700357,141.0051179556671,19.012926639975312,127.51033021088385,17.85052812671941,126.92737849815963
2022-07-01,13.758756430985342,120.80398096582654,12.53536060682363,118.17964003757011,24.481939878599015,140.70697490003843,15.458399991412875,126.04997642540401,15.544467720434207,126.59811539649289
2022-08-01,12.708692997574156,120.81300183294788,11.201231665472267,117.97262061387386,20.055729666269073,138.735975454227,12.002092244824425,124.13023405460193,12.927277500656341,125.65330974101308
2022-09-01,11.26789660436569,120.31254404898127,9.968030402845663,117.81116824580408,16.27965938853231,136.84258642489817,8.988217971770474,122.77203174601092,10.69829238865736,124.82326625658315
2022-10-01,10.127747264200426,120.15189266031834,8.906082818287464,117.85595241052678,13.633636449870036,136.05099901796277,6.892139371071981,122.43893243785551,9.193671584625562,124.68555165132331
2022-11-01,9.040081965635771,120.25577216216602,7.874023037305866,118.14636415572839,11.158870842504998,135.51488487556068,4.688473065568877,121.9142473058602,7.624738119363483,124.55493143481927
2022-12-01,7.588647289400874,120.29599335343603,5.941179493946436,117.73538370225441,8.083959679042184,134.65040514466548,2.8083433208281328,121.40240233416246,5.755275580482566,124.25029003530501
2023-01-01,6.448076317495155,120.51176395401222,4.979237859314489,117.90606656025008,5.100344246903821,134.0575971099312,1.0775278284808953,121.34241267331882,3.928415386497486,124.08252860707935
2023-02-01,4.743228189759741,120.55956194012083,3.7456519094877683,118.01906778043896,2.064479584651413,133.55881980613847,-1.3098884778908304,121.63754589200862,2.244264790261563,124.18727517047398
2023-03-01,4.129506906743163,121.28014721658467,4.223057192420843,119.1952587362649,-1.127750195760313,133.48243741506045,-2.997061981141569,122.02389002418117,0.8154971460975213,124.64298531878846
2023-04-01,3.3284446763989006,122.07460340123394,4.103591058388512,120.16525078841201,-2.9472980043180663,133.73874752303973,-3.399787891249273,122.94490911145476,-0.07692743178934203,125.2167961740379
2023-05-01,3.347738826751434,123.50221066543617,4.428312351800345,121.58345577441648,-3.9307445392474105,134.67946442068867,-3.2867939998180162,123.87562248432084,-0.402271183534586,126.05393404722358
2023-06-01,3.2014932992189715,124.46317862041948,4.075068611897037,122.41614458171077,-4.2103823647338885,135.06826333588944,-2.070090913904754,124.87075045089837,0.008548385505879885,126.93822873978617
2023-07-01,4.0034211975434,125.64027314728874,4.378627309401062,123.35428603040704,-3.4921037410071243,135.79334136569622,0.19522975658647912,126.29606348755664,1.0495711394307605,127.92685267875771
2023-08-01,5.1132648203856546,126.99049055412388,4.931037691211282,123.78989500165365,-1.725952980093859,136.3414577514125,3.1509052403289495,128.04146010426095,2.6871649761871508,129.02982147179355
2023-09-01,6.662474083410097,128.328336115336,5.943130963322862,124.81284026407286,0.27578592096768606,137.21997901214607,5.287098741987539,129.26311029196677,4.082123908006796,129.9187066511981
2023-10-01,7.6023052305458805,129.2862062806336,6.814380410838483,125.88710534459683,1.314039829134761,137.83876333299455,6.368643470576707,130.2366315140028,4.849069044343812,130.73164013921695
2023-11-01,8.037394311905066,129.92120275366548,7.016527245012005,126.43613598570617,1.8213031794841683,137.98302178247357,7.453504368687058,131.00113105485445,5.241468039910746,131.08343835810805
2023-12-01,8.454473936018037,130.4663867575763,8.124443918061175,127.3007289228582,2.1946448124303686,137.6055032760894,8.42658754314376,131.63248204633027,5.748381116156609,131.39267024446428
2024-01-01,8.544797896550227,130.80925062545023,8.237327815517537,127.61837577720019,2.9668833068800415,138.03492958019027,8.611429661034098,131.7917291896834,6.219604888778285,131.79997162244496
2024-02-01,9.61781796043426,132.15476114141862,9.233524237123337,128.91638700837282,3.5569977556620946,138.30950402913157,8.663883159527508,132.1760807462089,6.527210712905562,132.29324029946667
2024-03-01,9.741017977120281,133.0940681596301,8.866724714293817,129.76397420089978,3.698655226827041,138.41949256340874,8.82444600033021,132.79182230686735,6.520086916635703,132.76981629706293
2024-04-01,9.76289781037789,133.9926221837205,8.81897845994295,130.76259837177847,3.395860354177871,138.28032862834868,8.346856514980994,133.20694426746172,6.345566768426791,133.16251158054635
2024-05-01,9.587355091183936,135.3428061473936,7.579011002855873,130.79827926521187,2.5431094060353265,138.1045105483692,8.3016383465774,134.15932866254067,5.932304391871757,133.53183711283415
2024-06-01,9.20205555674125,135.9163494647566,7.107902735109595,131.1173650706499,2.229355104034081,138.0794145584983,8.136770997019816,135.03119745734807,5.453075018821285,133.86026558052967
